,type,level,price,hands required,system,category,damage,damage type,range,critical effect,critical damage,capacity,usage,ammo type,power type,bulk,special,source,area,eac bonus,kac bonus,max dex bonus,armor check penalty,speed adjustment,armor slots,weapon slots,upgrade slots,shield bonus,aligned shield bonus,speed,max speed,str,cover,hp,hardness,passengers
"accelerator rifle, ag",Longarms,7,7500,2,-,Projectile,3d4,P,60,-,-,16,1,Rounds,-,2,Automatic,AA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"acid cannon, dinergate",Small Arms,12,36000,1,-,Disintegrator,3d8,A,40,Corrode,3d4,40,4,Battery charge,-,L,"Living, swarm",AP19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"acid cannon, ergatoid",Small Arms,17,256000,1,-,Disintegrator,4d10,A,40,Corrode,4d4,40,5,Battery charge,-,L,"Living, swarm",AP19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"acid cannon, macrergate",Small Arms,7,7000,1,-,Disintegrator,2d6,A,40,Corrode,2d4,40,4,Battery charge,-,L,"Living, swarm",AP19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"acid cannon, micrergate",Small Arms,3,1500,1,-,Disintegrator,1d4,A,40,Corrode,1d4,40,2,Battery charge,-,L,"Living, swarm",AP19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"acid dart rifle, complex",Longarms,12,39200,2,-,Projectile,4d8,A & P,90,Corrode,4d4,48,4,Darts,-,2,Analog,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"acid dart rifle, dual",Longarms,7,6900,2,-,Projectile,2d8,A & P,90,Corrode,2d4,24,2,Darts,-,1,Analog,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"acid dart rifle, tactical",Longarms,2,485,2,-,Projectile,1d8,A & P,80,Corrode,1d4,10,1,Darts,-,1,Analog,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"acid lancer, corroderclass",Heavy,4,2000,2,-,Uncategorized,2d4,A,30,Corrode,1d4,20,4,Caustrol,-,2,"Analog, boost 1d4, line, unwieldy",AA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"acid lancer, disintegratorclass",Heavy,19,550000,2,-,Uncategorized,8d8,A,50,Corrode,6d4,40,10,Caustrol,-,2,"Analog, boost 1d10, line, unwieldy",AA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"acid lancer, liquefierclass",Heavy,14,75000,2,-,Uncategorized,8d4,A,50,Corrode,4d4,40,8,Caustrol,-,2,"Analog, boost 1d8, line, unwieldy",AA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"acid lancer, melterclass",Heavy,9,13000,2,-,Uncategorized,3d4,A,30,Corrode,2d4,20,5,Caustrol,-,2,"Analog, boost 1d6, line, unwieldy",AA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"agitator, blaze",Heavy,6,4300,2,-,Flame,2d6,F,80,Burn,2d4,40,1,Battery charge,-,2,Boost 1d6,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"agitator, ember",Heavy,1,330,2,-,Flame,1d8,F,60,Burn,1d4,20,1,Battery charge,-,2,Boost 1d4,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"agitator, inferno",Heavy,13,50800,2,-,Flame,6d6,F,80,Burn,3d4,40,2,Battery charge,-,2,Boost 2d6,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"agitator, solar flare",Heavy,19,580000,2,-,Flame,12d6,F,100,Burn,4d4,40,2,Battery charge,-,2,Boost 5d6,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
